92-688-4650,Bradan,Castanyer,bcastanyer0@ihg.com,$50.72
15-688-7968,Farah,Rubin,frubin1@cornell.edu,$39.52
98-537-3580,Jed,Twitty,jtwitty2@accuweather.com,$55.62
11-003-1565,Cazzie,Amorine,camorine3@people.com.cn,$85.76
36-290-5702,Simonette,Lanmeid,slanmeid4@discuz.net,$78.89
92-415-3785,Davine,Iori,diori5@altervista.org,$78.12
23-719-6136,Ibbie,Simmens,isimmens6@bbc.co.uk,$34.08
65-015-9451,Rania,Jago,rjago7@theglobeandmail.com,$57.49
92-816-6668,Derron,Trahar,dtrahar8@tinypic.com,$41.07
29-495-6548,Gordy,Syrett,gsyrett9@squarespace.com,$68.69
