92-688-4650,Bradan,Castanyer,bcastanyer0@ihg.com,50.72,7.1008,57.8208,
15-688-7968,Farah,Rubin,frubin1@cornell.edu,39.52,5.5328,45.0528,
98-537-3580,Jed,Twitty,jtwitty2@accuweather.com,55.62,7.7868,63.4068,
11-003-1565,Cazzie,Amorine,camorine3@people.com.cn,85.76,12.0064,97.7664,
36-290-5702,Simonette,Lanmeid,slanmeid4@discuz.net,78.89,11.0446,89.9346,
92-415-3785,Davine,Iori,diori5@altervista.org,78.12,10.9368,89.0568,
23-719-6136,Ibbie,Simmens,isimmens6@bbc.co.uk,34.08,4.7712,38.8512,
65-015-9451,Rania,Jago,rjago7@theglobeandmail.com,57.49,8.0486,65.5386,
92-816-6668,Derron,Trahar,dtrahar8@tinypic.com,41.07,5.7498,46.8198,
29-495-6548,Gordy,Syrett,gsyrett9@squarespace.com,68.69,9.6166,78.3066,
